Input_A	Input_B	Label
31 7.6 1
30.7 6.65 1
30.75 6 1
30.45 5.05 1
30.4 4.35 1
31.3 4.55 1
30.9 5.45 1
31.65 5.9 1
31.55 7.8 1
31.55 6.9 1
31.85 7.85 1
31.6 9.3 1
30.4 8.75 1
32 8.75 1
32.95 10.55 1
32.65 10.15 1
32.1 10.45 1
31.6 11.55 1
30.45 12.95 1
9 14.85 1
9.85 14.85 1
11.55 16.25 1
10.95 15.8 1
11.8 15.6 1
12.4 16.2 1
13 15.9 1
13.75 16.85 1
12.85 17.1 1
13.65 16.25 1
11.9 16.9 1
14.65 16.95 1
15 17.95 1
15.75 17.7 1
16.65 17.95 1
18 17.95 1
17.45 18.6 1
18.6 18.35 1
19.35 18 1
20.55 18.1 1
19.8 18.65 1
21.9 18 1
21.1 18.5 1
21.25 17.95 1
22.05 17.4 1
23.65 17.05 1
21.1 17.65 1
24.45 16.6 1
25.65 16.25 1
25.75 15.65 1
27 14.8 1
26.25 15.6 1
27.25 14.05 1
27.9 13.3 1
28.7 12.95 1
28.6 12.3 1
29.8 12.35 1
29.85 13.45 1
30.75 12.1 1
31.8 12.15 1
32.1 11.05 1
32.15 12.4 1
30.9 13.35 1
29.25 14 1
29.05 15.2 1
27.45 15.2 1
28.1 13.65 1
28.05 14.65 1
28.65 13.45 1
28.6 14.3 1
29.6 14.35 1
30.25 14.3 1
29.25 12.9 1
30.25 11.35 1
14.5 2.45 1
14.9 3.3 1
15.5 2.9 1
15.55 3.7 1
16.65 3.05 1
15.95 2.4 1
16.95 2.2 1
16.15 3.5 1
17.2 3.6 1
17.2 2.9 1
17.5 3 1
17.75 1.9 1
18.15 3.65 1
18.5 2.85 1
17.9 2.75 1
18.8 2.25 1
18.75 3.55 1
19.4 2.8 1
19.45 2.1 1
9.7 1.45 1
11.65 0.75 1
13.55 0.5 1
15.5 0.4 1
17 0.5 1
17.75 0.25 1
18.45 0.6 1
19.6 0.6 1
20.1 1.85 1
20.55 0.3 1
20.8 2.55 1
20.85 3.4 1
21.7 2.3 1
21.7 2.3 1
19.7 3.95 1
19.25 3.6 1
20.1 3.5 1
22 3.4 1
21.05 3.85 1
21.25 3.35 1
21.15 1.9 1
20.3 1.6 1
21.55 0.95 1
22.8 3.25 1
22.9 3.85 1
24 3.6 1
24 2.85 1
23.45 3.4 1
23.6 2.1 1
24.65 3.3 1
24.65 2.55 1
23.35 1.55 1
23.45 0.65 1
24.75 0.65 1
22.25 0.4 1
22.15 2.9 1
14.3 0.75 1
5.95 15.45 1
7.95 15.95 1
6.85 15.55 1
4.05 15.35 1
3.35 13.95 1
4.75 15.2 1
8.65 15.7 1
10 15.6 1
9.35 16.9 1
6.85 16.6 1
7.2 15.1 1
6.25 15.75 1
4.85 16.4 1
5.6 16.15 1
9.2 16.35 1
9.95 17.65 1
11.1 17.5 1
16.6 18.9 1
19.35 18.65 1
22.55 18.65 1
22.65 17.7 1
23.5 18.05 1
24.6 17.65 1
24.85 16.9 1
24.15 17.5 1
26 17.25 1
26.2 16.25 1
27.6 16.3 1
27.3 16.5 1
27.25 15.75 1
28.5 15.45 1
28.55 16.15 1
33.25 11.35 1
32.95 11.55 1
32.45 11.9 1
32.3 13.1 1
31.05 13.5 1
32.9 12.7 1
32.85 8.95 1
31.85 10.05 1
32.15 9.35 1
5.8 17.05 1
6.4 16.45 1
7.7 16.7 1
6.9 17.65 1
8.15 17.65 1
8.15 16.9 1
7.3 15.65 1
10.15 16.15 1
10.4 16.6 1
8.45 17.4 1
8.9 18.2 1
7.85 18.05 1
9.55 18.6 1
10.7 17.85 1
10.7 18.4 1
10.3 19 1
11.55 18.55 1
11.75 17.75 1
12.3 18.55 1
13.3 18.5 1
13.35 17.2 1
14.05 17.95 1
13.05 17.95 1
14.95 18.7 1
14.1 18.85 1
15.95 18.85 1
15.95 18.65 1
18 18.8 1
21.8 18.75 1
30.1 15.3 1
31.3 14.5 1
30.35 14.45 1
